ram,battery_power,2,3,4
"(0, 1000]","(500, 1000]",457.0,578.5357142857143,688.9
"(0, 1000]","(1000, 1500]",544.3333333333334,636.1764705882352,755.6470588235294
"(0, 1000]","(1500, 2000]",644.6538461538462,735.53125,826.4852941176471
"(1000, 2000]","(500, 1000]",594.2857142857143,700.8648648648649,781.547619047619
"(1000, 2000]","(1000, 1500]",662.925,738.5111111111111,885.4239130434783
"(1000, 2000]","(1500, 2000]",724.1818181818181,842.3720930232558,932.25
"(2000, 3000]","(500, 1000]",654.1304347826087,761.0545454545454,896.6260869565217
"(2000, 3000]","(1000, 1500]",716.3095238095239,840.3181818181819,951.5263157894736
"(2000, 3000]","(1500, 2000]",837.5882352941177,954.2380952380952,1071.549019607843
"(3000, 4000]","(500, 1000]",808.9285714285714,936.8085106382979,1026.9120879120878
"(3000, 4000]","(1000, 1500]",887.6,1020.5675675675676,1142.4642857142858
"(3000, 4000]","(1500, 2000]",1000.5238095238095,1100.9444444444443,1201.3904761904762
